company
Apple Inc.
JPMorgan Chase
General Electric
U. S. Steel
BlackRock
Accenture
Adobe Inc.
Boeing
Bank of America
The Walt Disney Company
FedEx
IBM
Intel
Johnson & Johnson
The Coca-Cola Company
Netflix
"Nike, Inc."
Pfizer
